id,name,name_cn,name_en,order_no,city_code
9445C561D6E52B5BE040FE0A07DC3622,北京,北京,BEIJING,1,BJS
9445C561DB6B2B5BE040FE0A07DC3622,深圳,深圳,SHENZHEN,2,SZX
9445C561DBC42B5BE040FE0A07DC3622,上海,上海,SHANGHAI,3,SHA
9445C561DBA82B5BE040FE0A07DC3622,广州,广州,GUANGZHOU,4,CAN
9445C561DB952B5BE040FE0A07DC3622,天津,天津,TIANJIN,4,TSN
9445C561D7052B5BE040FE0A07DC3622,成都,成都,CHENGDU,5,CTU
9445C561D5982B5BE040FE0A07DC3622,杭州,杭州,HANGZHOU,6,HGH
9445C561D71C2B5BE040FE0A07DC3622,长沙,长沙,CHANGSHA,7,CSX
9445C561DB9F2B5BE040FE0A07DC3622,重庆,重庆,CHONGQING,8,CKG
9445C561DBC32B5BE040FE0A07DC3622,西安,西安,XIAN,10,SIA
9445C561D9472B5BE040FE0A07DC3622,武汉,武汉,WUHAN,11,WUH
9445C561DB7D2B5BE040FE0A07DC3622,南京,南京,NANJING,12,NKG
9445C561D6A92B5BE040FE0A07DC3622,青岛,青岛,QINGDAO,13,TAO
9445C561DC452B5BE040FE0A07DC3622,厦门,厦门,XIAMEN,15,XMN
9445C561DB882B5BE040FE0A07DC3622,呼和浩特,呼和浩特,HUHEHAOTE,51,HET
9445C561DB9C2B5BE040FE0A07DC3622,昆明,昆明,KUNMING,52,KMG
9445C561D7A12B5BE040FE0A07DC3622,贵阳,贵阳,GUIYANG,53,KWE
9445C561D56F2B5BE040FE0A07DC3622,海口,海口,HAIKOU,54,HAK
9445C561D7B32B5BE040FE0A07DC3622,西宁,西宁,XINING,55,XNN
9445C561D7922B5BE040FE0A07DC3622,桂林,桂林,GUILIN,56,KWL
9445C561DAC22B5BE040FE0A07DC3622,汕头,汕头,SHANTOU,57,SWA
9445C561D63C2B5BE040FE0A07DC3622,洛阳,洛阳,LUOYANG,58,LYA
9445C561DB972B5BE040FE0A07DC3622,拉萨,拉萨,LASA,60,LXA
9445C561DAB92B5BE040FE0A07DC3622,绍兴,绍兴,SHAOXING,62,SHX
9445C561DB3E2B5BE040FE0A07DC3622,温州,温州,WENZHOU,63,WNZ
9445C561D8332B5BE040FE0A07DC3622,湛江,湛江,ZHANJIANG,64,ZHA
9445C561D7DD2B5BE040FE0A07DC3622,银川,银川,YINCHUAN,65,INC
9445C561D7742B5BE040FE0A07DC3622,佛山,佛山,FOSHAN,66,FUO
9445C561DB4A2B5BE040FE0A07DC3622,襄樊,襄樊,XIANGFAN,67,XFN
9445C561DBAF2B5BE040FE0A07DC3622,珠海,珠海,ZHUHAI,69,ZUH
9445C561D63F2B5BE040FE0A07DC3622,柳州,柳州,LIUZHOU,70,LZH
9445C561D7452B5BE040FE0A07DC3622,丹东,丹东,DANDONG,71,DDG
9445C561DB8E2B5BE040FE0A07DC3622,大同,大同,DATONG,73,DAT
9445C561DAD32B5BE040FE0A07DC3622,三亚,三亚,SANYA,75,SYX
9445C561DC972B5BE040FE0A07DC3622,唐山,唐山,TANGSHAN,77,TVS
9445C561D6F22B5BE040FE0A07DC3622,包头,包头,BAOTOU,78,BAV
9445C561D82D2B5BE040FE0A07DC3622,中甸,中甸,ZHONGDIAN,9999,YUA
9445C561D7EB2B5BE040FE0A07DC3622,延吉,延吉,YANJI,9999,YNJ
9445C561D7FD2B5BE040FE0A07DC3622,扬州,扬州,YANGZHOU,9999,YZO
9445C561D7952B5BE040FE0A07DC3622,格尔木,格尔木,GEERMU,9999,GOQ
9445C561D8012B5BE040FE0A07DC3622,玉树,玉树,YUSHU,9999,YUS
9445C561D8032B5BE040FE0A07DC3622,烟台,烟台,YANTAI,9999,YNT
9445C561D8402B5BE040FE0A07DC3622,舟山,舟山,ZHOUSHAN,9999,HSN
9445C561D8092B5BE040FE0A07DC3622,义乌,义乌,YIWU,9999,YIW
9445C561D8282B5BE040FE0A07DC3622,张家界,张家界,ZHANGJIAJIE,9999,DYG
